zip,total,total_error,white_total,white_error,african_american_total,african_american_error,asian_total,asian_error,other_race_total,other_race_error,multiracial_total,multiracial_error
24354,13934,663,13246,675,492,165,21,77,14,50,210,151
24360,5802,658,5687,631,84,88,17,0,0,51,62,91
24361,5795,537,5469,516,251,150,17,36,11,50,56,67
24363,1290,211,1218,206,14,28,12,29,29,53,0,36
24366,548,207,548,207,0,12,12,0,0,36,0,36
24368,5252,500,5090,479,8,11,68,0,94,124,120,101
24370,6821,545,6725,534,17,27,17,0,0,51,158,188
24374,791,206,772,203,19,32,12,0,0,36,0,36
24375,1888,354,1737,335,14,23,12,103,19,50,30,72
24377,329,116,329,116,0,12,12,0,0,36,0,36
24378,998,214,964,213,5,12,12,4,0,36,50,86
24380,2696,434,2476,349,64,101,64,0,156,223,0,36
24381,3826,618,3776,612,25,36,12,4,3,29,36,72
24382,13780,644,12686,626,705,159,3,129,1,41,518,300
24401,35718,929,30570,897,3330,319,43,561,212,164,2090,785
24411,52,82,52,82,0,12,12,0,0,36,0,36
24412,27,43,27,43,0,12,12,0,0,36,0,36
24413,269,121,266,120,0,12,12,0,0,36,6,24
24415,0,12,0,12,0,12,12,0,0,36,0,36
24416,8756,415,7941,388,472,167,23,123,75,104,290,230
24421,4029,450,3997,453,32,47,12,0,0,36,0,36
24422,5924,323,5191,345,584,121,17,7,66,91,152,157
24426,13451,317,12181,326,955,138,19,74,21,57,440,219
24430,3829,553,2332,363,1278,290,128,8,102,158,218,129
24431,2571,553,2508,547,0,12,12,63,0,36,0,36
24432,286,129,259,135,0,12,12,0,0,36,54,94
24433,73,46,73,46,0,12,12,0,0,36,0,36
24435,2028,510,1919,522,28,43,12,22,38,82,42,74
24437,705,237,694,239,0,12,12,0,3,33,16,42
24439,1227,362,1203,363,2,3,12,0,5,35,34,60
24440,2948,654,2769,644,133,63,12,19,21,58,12,24
24441,6190,505,5959,525,77,72,17,0,125,167,58,67
24442,123,73,123,73,0,12,12,0,0,36,0,36
24445,2798,468,2498,433,115,71,12,15,14,52,312,272
24448,256,70,232,66,13,13,12,0,0,36,22,34
24450,17140,800,15233,883,1113,318,24,316,142,167,672,347
24457,207,117,175,129,32,28,12,0,0,36,0,36
24458,401,102,398,101,0,12,12,0,0,36,6,24
24459,728,357,692,339,0,12,12,36,0,36,0,36
24460,1182,371,1151,369,0,12,13,0,31,76,0,36
24464,168,107,168,107,0,12,12,0,0,36,0,36
24465,1239,138,1230,140,0,12,9,0,3,33,12,32
24467,2363,488,2190,481,37,54,12,0,46,91,180,220
24471,1791,476,1754,465,37,47,12,0,0,36,0,36
24472,1722,459,1672,459,2,5,57,4,44,82,0,36
24473,889,312,889,312,0,12,12,0,0,36,0,36
24474,672,228,597,235,16,19,12,0,0,36,118,150
24476,225,131,225,131,0,12,12,0,0,36,0,36
24477,10894,755,10240,749,306,203,62,36,76,102,472,282
24479,1539,388,1510,380,0,12,14,0,8,38,42,84
24482,5267,496,4986,491,162,54,22,0,22,52,194,173
24483,582,259,582,259,0,12,12,0,0,36,0,36
24484,549,197,493,180,28,45,12,0,0,36,56,100
24485,333,126,333,126,0,12,12,0,0,36,0,36
24486,3304,479,3162,485,3,5,12,0,0,36,278,278
24487,322,192,322,192,0,12,12,0,0,36,0,36
