id,county_id,Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.Dist,Latitude,Longitude
4309,28,MOUNT VERNON-ON-THE-POTOMAC,,MOUNT VERNON-ON-THE-POTOMAC,VA,FAIRFAX,,,Fairfax,1878,1928,TRUE,2,100838,FALSE,50,FALSE,,,,,,,,,,,,,
4310,14,MOUNT VINCO,,MOUNT VINCO,VA,BUCKINGHAM,,,Buckingham,1844,1905,TRUE,5,100842,TRUE,61,TRUE,MOUNT VINCO,BUCKINGHAM,VA,1493322,Populated Place,Mount Vinco,Buckingham,37.59237,-78.6014,150,1,37.59237,-78.6014
4311,33,MOUNT WILLIAMS,,MOUNT WILLIAMS,VA,FREDERICK,,,Frederick,1881,1952,TRUE,1,100851,TRUE,71,TRUE,MOUNT WILLIAMS,FREDERICK,VA,1495978,Populated Place,Mount Williams,Frederick,39.15205,-78.33278,340,1,39.15205,-78.33278
4312,15,MOUNT ZION,,MOUNT ZION,VA,CAMPBELL,,,Campbell,1840,1904,TRUE,3,100865,TRUE,64,TRUE,MOUNT ZION,CAMPBELL,VA,1471109,Populated Place,Mount Zion,Campbell,37.2157,-79.03974,235,1,37.2157,-79.03974
4313,33,MOUNTAIN FALLS,,MOUNTAIN FALLS,VA,FREDERICK,,,Frederick,1851,1968,FALSE,1,100878,TRUE,117,TRUE,MOUNTAIN FALLS,FREDERICK,VA,1485677,Populated Place,Mountain Falls,Frederick,39.11733,-78.39556,257,1,39.11733,-78.39556
4314,52,MOUNTAIN GAP,,MOUNTAIN GAP,VA,LOUDOUN,,,Loudoun,1886,1905,TRUE,5,100879,TRUE,19,TRUE,MOUNTAIN GAP,LOUDOUN,VA,1471168,Locale,Mountain Gap,Loudoun,39.05066,-77.6186,114,1,39.05066,-77.6186
4315,8,MOUNTAIN GROVE,,MOUNTAIN GROVE,VA,BATH,,,Bath,1844,1965,FALSE,1,100881,TRUE,121,TRUE,MOUNTAIN GROVE,BATH,VA,1495979,Populated Place,Mountain Grove,Bath,38.09874,-79.88672,539,1,38.09874,-79.88672
4316,2,MOUNTAIN HOUSE,,MOUNTAIN HOUSE,VA,ALLEGHANY,,,Alleghany,1853,1866,TRUE,7,100886,FALSE,13,FALSE,,,,,,,,,,,,,
4317,34,MOUNTAIN LAKE,,MOUNTAIN LAKE,VA,GILES,,,Giles,1859,1956,FALSE,1,100891,TRUE,97,TRUE,MOUNTAIN LAKE,GILES,VA,1926777,Post Office,Mountain Lake Post Office (historical),Giles,37.3554,-80.53784,1196,1,37.3554,-80.53784
4318,40,MOUNTAIN ROAD,,MOUNTAIN ROAD,VA,HALIFAX,,,Halifax,1869,1904,TRUE,5,100896,TRUE,35,TRUE,MOUNTAIN ROAD,HALIFAX,VA,1496736,Populated Place,Mountain Road,Halifax,36.75958,-78.98696,162,1,36.75958,-78.98696
